,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,audience,audience:confidence,bias,bias:confidence,message,message:confidence,orig__golden,audience_gold,bias_gold,bioid,embed,id,label,message_gold,source,text,Name,Last Name,Party
1,766192485,False,finalized,1,8/4/15 21:20,national,1.0,partisan,1.0,attack,1.0,,,,M000355,"<blockquote class=""twitter-tweet"" width=""450""><p>VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF</p> Sen. McConnell Press (@McConnellPress) <a href='https://twitter.com/McConnellPress/status/311208340904624128'>2013-03-11 16:13:45</a></blockquote>",3.11208E+17,From: Mitch McConnell (Senator from Kentucky),,twitter,VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF,Mitch McConnell,McConnell,R
2,766192486,False,finalized,1,8/4/15 21:14,national,1.0,neutral,1.0,support,1.0,,,,S001180,"<blockquote class=""twitter-tweet"" width=""450""><p>Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.</p> Rep. Kurt Schrader (@RepSchrader) <a href='https://twitter.com/RepSchrader/status/339069032340799489'>2013-05-27 13:22:11</a></blockquote>",3.39069E+17,From: Kurt Schrader (Representative from Oregon),,twitter,Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.,Kurt Schrader,Schrader,D
3,766192487,False,finalized,1,8/4/15 21:08,national,1.0,neutral,1.0,policy,1.0,,,,C000880,"<blockquote class=""twitter-tweet"" width=""450""><p>RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the SenateÛªs procedural vote today at 5:30 pm</p> Senator Mike Crapo (@MikeCrapo) <a href='https://twitter.com/MikeCrapo/status/298528023953678336'>2013-02-04 15:26:41</a></blockquote>",2.98528E+17,From: Michael Crapo (Senator from Idaho),,twitter,RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the SenateÛªs procedural vote today at 5:30 pm,Michael Crapo,Crapo,R
4,766192488,False,finalized,1,8/4/15 21:26,national,1.0,partisan,1.0,policy,1.0,,,,U000038,"<blockquote class=""twitter-tweet"" width=""450""><p>.@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u</p> Mark Udall (@MarkUdall) <a href='https://twitter.com/MarkUdall/status/407642791225724929'>2013-12-02 17:49:49</a></blockquote>",4.07643E+17,From: Mark Udall (Senator from Colorado),,twitter,.@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u,Mark Udall,Udall,D
5,766192489,False,finalized,2,8/4/15 21:06,national,1.0,partisan,0.5216,information,1.0,,,,H001069,"<blockquote class=""twitter-tweet"" width=""450""><p>Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2)</p> Sen. Heidi Heitkamp (@SenatorHeitkamp) <a href='https://twitter.com/SenatorHeitkamp/status/421029732591751168'>2014-01-08 16:24:45</a></blockquote>",4.2103E+17,From: Heidi Heitkamp (Senator from North Dakota),,twitter,Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2),Heidi Heitkamp,Heitkamp,D
8,766192492,False,finalized,1,8/4/15 20:57,national,1.0,neutral,1.0,personal,1.0,,,,F000459,"<blockquote class=""twitter-tweet"" width=""450""><p>What a wonderful night at State Senator Ken YagerÛªs Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR</p> Chuck Fleischmann (@RepChuck) <a href='https://twitter.com/RepChuck/status/537291559235235840'>2014-11-25 12:07:44</a></blockquote>",5.37292E+17,From: Chuck Fleischmann (Representative from Tennessee),,twitter,What a wonderful night at State Senator Ken YagerÛªs Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR,Chuck Fleischmann,Fleischmann,R
9,766192493,False,finalized,2,8/4/15 21:14,national,1.0,partisan,1.0,support,1.0,,,,H000874,"<blockquote class=""twitter-tweet"" width=""450""><p>Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines</p> Steny Hoyer (@WhipHoyer) <a href='https://twitter.com/WhipHoyer/status/298815200201682944'>2013-02-05 10:27:50</a></blockquote>",2.98815E+17,From: Steny Hoyer (Representative from Maryland),,twitter,"Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines",Steny Hoyer,Hoyer,D
11,766192495,False,finalized,1,8/4/15 21:15,national,1.0,partisan,1.0,attack,1.0,,,,K000378,"<blockquote class=""twitter-tweet"" width=""450""><p>The President doesnÛªt get to just decide he doesnÛªt like Congress and do his own thing: http://t.co/jmclKjUzSG</p> Adam Kinzinger (@RepKinzinger) <a href='https://twitter.com/RepKinzinger/status/535478245596999680'>2014-11-20 12:02:17</a></blockquote>",5.35478E+17,From: Adam Kinzinger (Representative from Illinois),,twitter,The President doesnÛªt get to just decide he doesnÛªt like Congress and do his own thing: http://t.co/jmclKjUzSG,Adam Kinzinger,Kinzinger,R
12,766192496,False,finalized,1,8/4/15 21:18,national,1.0,neutral,1.0,policy,1.0,,,,C000174,"<blockquote class=""twitter-tweet"" width=""450""><p>FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets.</p> Senator Tom Carper (@SenatorCarper) <a href='https://twitter.com/SenatorCarper/status/435828863776878593'>2014-02-18 12:31:13</a></blockquote>",4.35829E+17,From: Thomas Carper (Senator from Delaware),,twitter,"FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets.",Thomas Carper,Carper,D
13,766192497,False,finalized,1,8/4/15 20:16,national,1.0,neutral,1.0,information,1.0,,,,H001045,"<blockquote class=""twitter-tweet"" width=""450""><p>RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g</p> Gregg Harper (@GreggHarper) <a href='https://twitter.com/GreggHarper/status/407547197484716032'>2013-12-02 11:29:58</a></blockquote>",4.07547E+17,From: Gregg Harper (Representative from Mississippi),,twitter,RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g,Gregg Harper,Harper,R
